National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  gender: 2023-24"

Completion Year,State,Total,Male,Female
2018-19,South Dakota,274,235,39
2018-19,Tennessee,819,653,166
2018-19,Texas,"5,035","3,983","1,052"
2018-19,Utah,"3,452","3,084",368
2018-19,Vermont,398,327,71
2018-19,Virginia,"3,162","2,488",674
2018-19,Washington,"2,550","1,883",667
2018-19,West Virginia,828,688,140
2018-19,Wisconsin,"1,469","1,217",252
2018-19,Wyoming,41,34,7
2017-18,Total,"79,595","63,701","15,894"
2017-18,Alabama,874,657,217
2017-18,Alaska,28,26,2
2017-18,Arizona,"2,259","1,809",450
2017-18,Arkansas,411,348,63
2017-18,California,"7,972","6,440","1,532"
2017-18,Colorado,"1,860","1,531",329
2017-18,Connecticut,564,452,112
2017-18,Delaware,278,207,71
2017-18,District of Columbia,281,187,94
2017-18,Florida,"3,776","3,069",707
2017-18,Georgia,"2,953","2,291",662
2017-18,Hawaii,219,188,31
2017-18,Idaho,424,346,78
2017-18,Illinois,"3,059","2,506",553
2017-18,Indiana,"2,349","1,910",439
2017-18,Iowa,679,556,123
2017-18,Kansas,606,517,89
2017-18,Kentucky,620,509,111
2017-18,Louisiana,574,462,112
2017-18,Maine,152,124,28
2017-18,Maryland,"4,206","3,256",950
2017-18,Massachusetts,"2,911","2,127",784
2017-18,Michigan,"2,468","2,004",464
2017-18,Minnesota,"1,604","1,276",328
2017-18,Mississippi,201,167,34
2017-18,Missouri,"1,555","1,303",252
2017-18,Montana,125,102,23
2017-18,Nebraska,570,465,105
2017-18,Nevada,217,172,45
2017-18,New Hampshire,716,591,125
2017-18,New Jersey,"2,098","1,748",350
2017-18,New Mexico,182,150,32
2017-18,New York,"6,480","4,889","1,591"
2017-18,North Carolina,"2,045","1,535",510
2017-18,North Dakota,156,141,15
2017-18,Ohio,"1,650","1,372",278
2017-18,Oklahoma,568,485,83
2017-18,Oregon,956,797,159
2017-18,Pennsylvania,"4,080","3,137",943
2017-18,Rhode Island,438,333,105
2017-18,South Carolina,773,622,151
2017-18,South Dakota,275,220,55
2017-18,Tennessee,820,689,131
2017-18,Texas,"4,302","3,494",808
2017-18,Utah,"2,816","2,526",290
2017-18,Vermont,342,289,53
2017-18,Virginia,"2,805","2,254",551
2017-18,Washington,"2,191","1,651",540
2017-18,West Virginia,811,685,126
2017-18,Wisconsin,"1,264","1,057",207
2017-18,Wyoming,32,29,3
2016-17,Total,"71,416","57,763","13,653"
2016-17,Alabama,789,637,152
2016-17,Alaska,33,33,0
2016-17,Arizona,"2,359","1,923",436
2016-17,Arkansas,353,300,53
2016-17,California,"7,189","5,809","1,380"
2016-17,Colorado,"1,575","1,286",289
2016-17,Connecticut,533,437,96
2016-17,Delaware,197,153,44
2016-17,District of Columbia,257,186,71
2016-17,Florida,"3,712","3,027",685
2016-17,Georgia,"2,532","2,008",524
2016-17,Hawaii,178,156,22
2016-17,Idaho,436,365,71
2016-17,Illinois,"2,867","2,391",476
2016-17,Indiana,"1,906","1,508",398
2016-17,Iowa,653,554,99
2016-17,Kansas,534,477,57
2016-17,Kentucky,584,474,110
2016-17,Louisiana,457,350,107
2016-17,Maine,126,106,20
2016-17,Maryland,"3,511","2,725",786
2016-17,Massachusetts,"2,645","1,985",660
2016-17,Michigan,"2,107","1,759",348
2016-17,Minnesota,"1,545","1,265",280
2016-17,Mississippi,208,173,35
2016-17,Missouri,"1,408","1,151",257
2016-17,Montana,99,88,11
2016-17,Nebraska,534,441,93
2016-17,Nevada,191,146,45
2016-17,New Hampshire,586,473,113
2016-17,New Jersey,"1,735","1,431",304
2016-17,New Mexico,187,154,33
2016-17,New York,"5,495","4,331","1,164"
2016-17,North Carolina,"1,619","1,292",327
2016-17,North Dakota,163,146,17
2016-17,Ohio,"1,580","1,343",237
2016-17,Oklahoma,519,443,76
2016-17,Oregon,859,688,171
2016-17,Pennsylvania,"3,851","2,991",860
2016-17,Rhode Island,442,332,110
2016-17,South Carolina,747,599,148
2016-17,South Dakota,240,202,38
2016-17,Tennessee,816,662,154
2016-17,Texas,"3,743","3,008",735
2016-17,Utah,"2,577","2,309",268
2016-17,Vermont,266,223,43
2016-17,Virginia,"2,654","2,158",496
2016-17,Washington,"1,822","1,407",415
2016-17,West Virginia,760,626,134
2016-17,Wisconsin,"1,195",993,202
2016-17,Wyoming,42,39,3
2015-16,Total,"64,402","52,330","12,072"
2015-16,Alabama,686,546,140
2015-16,Alaska,26,25,1
2015-16,Arizona,"2,343","1,833",510
2015-16,Arkansas,355,295,60
2015-16,California,"5,973","4,909","1,064"
2015-16,Colorado,"1,564","1,293",271
2015-16,Connecticut,496,402,94
2015-16,Delaware,201,153,48
2015-16,District of Columbia,244,158,86
2015-16,Florida,"3,613","2,895",718
2015-16,Georgia,"2,200","1,805",395
2015-16,Hawaii,178,152,26
2015-16,Idaho,384,313,71
2015-16,Illinois,"2,783","2,324",459
2015-16,Indiana,"1,733","1,393",340
2015-16,Iowa,686,562,124
2015-16,Kansas,492,414,78
2015-16,Kentucky,525,454,71
2015-16,Louisiana,389,327,62
2015-16,Maine,118,89,29
2015-16,Maryland,"3,190","2,505",685
2015-16,Massachusetts,"2,254","1,695",559
2015-16,Michigan,"1,968","1,640",328
2015-16,Minnesota,"1,489","1,224",265
2015-16,Mississippi,162,137,25
2015-16,Missouri,"1,340","1,106",234
2015-16,Montana,100,86,14
2015-16,Nebraska,518,438,80
2015-16,Nevada,213,165,48
2015-16,New Hampshire,457,373,84
2015-16,New Jersey,"1,446","1,214",232
